Name,Symbol,Branche,Index
Covestro,1COV,Chemie,DAX
Adidas,ADS,Bekleidung,DAX
Carl Zeiss Meditec AG,AFX,Medizintechnik,SDAX
Airbus SE (former EADS),AIR,Aerospace manufacturer and Defense,MDAX
Aixtron SE,AIXA,Halbleiterindustrie,SDAX
Allianz,ALV,Versicherungen,DAX
Alstria office REIT-AG,AOX,Real Estate,MDAX
Aareal Bank AG,ARL,Banking,MDAX
Aroundtown SA,AT1,Commercial real estate,MDAX
Metro AG,B4B,Wholesale and Retail,MDAX
BASF,BAS,Chemie,DAX
Bayer,BAYN,Chemie und Pharma,DAX
Bechtle AG,BC8,IT Services,MDAX
Beiersdorf,BEI,Konsumgüter,DAX
BMW,BMW,Automobilproduktion,DAX
Brenntag AG,BNR,Trading (Chemicals),MDAX
Hugo Boss,BOSS,Textiles,MDAX
Commerzbank AG,CBK,Banking,MDAX
Cancom SE,COK,IT-Dienstleistungen,SDAX
Continental,CON,Automobilzulieferer,DAX
CompuGroup Medical SE,COP,Software für Gesundheitswesen,SDAX
Daimler,DAI,Automobilproduktion,DAX
Deutsche Börse,DB1,Banking,DAX
Deutsche Bank,DBK,Banking,DAX
Deutsche EuroShop AG,DEQ,Shopping Centers,MDAX
Delivery Hero SE,DHER,Online food ordering,MDAX
Dialog Semiconductor plc.,DLG,Halbleiterindustrie,SDAX
Deutsche Post,DPW,Logistik,DAX
1&1 Drillisch,DRI,Telecommunication,MDAX
Deutsche Telekom,DTE,Telecommunication,DAX
Dürr AG,DUE,Automotive,MDAX
Deutsche Wohnen AG,DWNI,Real Estate,MDAX
E.ON,EOAN,Versorger,DAX
CTS Eventim,EVD,Trading,MDAX
Evonik Industries,EVK,Chemie,MDAX
Evotec,EVT,Biotechnology,MDAX
Fielmann,FIE,Trading (Ophthalmic optics),MDAX
Fresenius Medical Care,FME,Medizintechnik,DAX
Freenet AG,FNTN,Telecommunication,MDAX
Fuchs Petrolub SE,FPE,Chemie,MDAX
Fraport,FRA,Airports,MDAX
Fresenius,FRE,Medizintechnik und Klinikbetrieb,DAX
GEA Group,G1A,Machine building,MDAX
Scout24 AG,G24,Digital marketplaces,MDAX
Gerresheimer,GXI,Packaging of medicaments,MDAX
Grand City Properties,GYC,Real Estate,MDAX
HeidelbergCement,HEI,Baustoffe,DAX
Henkel,HEN3,Konsumgüter und Chemie,DAX
Hella KGaA Hueck & Co.,HLE,Automotive,MDAX
Hannover Rück SE,HNR1,Insurance,MDAX
Hochtief,HOT,Construction,MDAX
Infineon Technologies,IFX,Halbleiter,DAX
Innogy SE,IGY,Energy,MDAX
Jenoptik AG,JEN,Optik und Elektronik,SDAX
KION Group,KGX,Utility vehicles,MDAX
LEG Immobilien,LEG,Real Estate,MDAX
Deutsche Lufthansa,LHA,Luftfahrt,DAX
Linde,LIN,Industriegase und Anlagenbau,DAX
Lanxess AG,LXS,Chemie,MDAX
MorphoSys,MOR,Biotechnology,MDAX
Merck,MRK,Chemie und Pharma,DAX
MTU,MTX,Aerospace,DAX
Munich Re,MUV2,Insurance,DAX
Aurubis AG,NDA,Commodities (Copper),MDAX
Nordex SE,NDX1,Windenergie,SDAX
Nemetschek,NEM,"Architecture, Engineering, Construction, Multimedia",MDAX
Norma Group,NOEJ,Joining techniques,MDAX
New Work SE,NWO,Social Media,SDAX
Telefónica Germany,O2D,Telecommunication,MDAX
Osram,OSR,Lighting technology,MDAX
Deutsche Pfandbriefbank AG,PBB,Banking,MDAX
Pfeiffer Vacuum Technology AG,PFV,Maschinenbau,SDAX
ProSiebenSat.1 Media,PSM,Media,MDAX
Puma SE,PUM,Clothing,MDAX
Qiagen,QIA,Biotechnology,MDAX
Rheinmetall,RHM,Automotive and Defense,MDAX
RIB Software AG,RIB,Software für Bauwesen,SDAX
Rocket Internet,RKET,"Online retailing, Venture capital",MDAX
RTL Group,RRTL,Media,MDAX
RWE,RWE,Versorger,DAX
S&T AG,SANT,IT-Dienstleistungen,SDAX
SAP,SAP,Standardsoftware,DAX
K+S AG,SDF,Mining,MDAX
Schaeffler Technologies AG & Co. KG,SHA,Mechanical engineering,MDAX
Siemens Healthineers,SHL,Healthcare,MDAX
Siemens,SIE,Elektrotechnik,DAX
Software AG,SOW,Software,MDAX
Axel Springer SE,SPR,Media,MDAX
Sartorius AG,SRT,Pharmaceuticals and Laboratory Equipment,MDAX
Sartorius AG,SRT3,"Biotechnologie, Mechatronik",SDAX
Symrise,SY1,Producer of flavours and fragrances,MDAX
Salzgitter AG,SZG,Steel,MDAX
TAG,TEG,Real Estate,MDAX
TeamViewer AG,TMV,Software,SDAX
Uniper SE,UN01,Energy,MDAX
United Internet,UTDI,Telecommunications,MDAX
Varta AG,VAR1,Elektrotechnik,SDAX
Vonovia,VNA,Real Estate,DAX
Volkswagen,VOW3,Automobilproduktion,DAX
Siltronic,WAF,Silicon Wafers,MDAX
Wacker Chemie,WCH,Chemicals,MDAX
Wirecard,WDI,Finanztechnologie,DAX
Zalando SE,ZAL,E-commerce,MDAX